# Архангельск / Облачность / 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней / Tomorrow.io
# n=1025, MAE=16.739, RMSE=29.886, bias=-11.604
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (29.886/25.237)^2 = -0.4024  (RMSE_персистентности по 1025 пар(ам))
# persistence baseline = смешанный (разный по периодам в пуле) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
# «Общий» = объединённый пул пар из периодов: 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней - метрика посчитана заново по всему пулу, а не усреднена по периодам
#
bucket,fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
0-6ч,2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,24.22,100.0,100.0,-75.78,75.78
0-6ч,2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,54.69,87.5,100.0,-32.81,32.81
0-6ч,2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,24.22,100.0,100.0,-75.78,75.78
0-6ч,2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,54.69,87.5,100.0,-32.81,32.81
0-6ч,2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,54.69,87.5,100.0,-32.81,32.81
0-6ч,2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,98.44,87.5,100.0,10.94,10.94
0-6ч,2026-08-07T16:51:54Z,2026-08-07T18:00:00Z,1.1,18.75,87.5,87.5,-68.75,68.75
0-6ч,2026-08-07T16:51:54Z,2026-08-07T21:00:00Z,4.1,37.5,87.5,87.5,-50.0,50.0
0-6ч,2026-08-07T22:45:57Z,2026-08-08T00:00:00Z,1.2,52.34,100.0,87.5,-47.66,47.66
0-6ч,2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,59.38,100.0,87.5,-40.62,40.62
0-6ч,2026-08-07T23:19:23Z,2026-08-08T00:00:00Z,0.7,52.34,100.0,87.5,-47.66,47.66
0-6ч,2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,59.38,100.0,87.5,-40.62,40.62
0-6ч,2026-08-08T04:50:53Z,2026-08-08T06:00:00Z,1.2,70.31,100.0,100.0,-29.69,29.69
0-6ч,2026-08-08T04:50:53Z,2026-08-08T09:00:00Z,4.2,88.28,100.0,100.0,-11.72,11.72
0-6ч,2026-08-08T10:18:13Z,2026-08-08T12:00:00Z,1.7,39.84,100.0,100.0,-60.16,60.16
0-6ч,2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,96.09,87.5,100.0,8.59,8.59
0-6ч,2026-08-08T22:37:20Z,2026-08-09T00:00:00Z,1.4,93.75,87.5,87.5,6.25,6.25
0-6ч,2026-08-08T22:37:20Z,2026-08-09T03:00:00Z,4.4,38.28,100.0,87.5,-61.72,61.72
0-6ч,2026-08-09T04:59:03Z,2026-08-09T06:00:00Z,1.0,85.94,100.0,100.0,-14.06,14.06
0-6ч,2026-08-09T04:59:03Z,2026-08-09T09:00:00Z,4.0,100.0,75.0,100.0,25.0,25.0
0-6ч,2026-08-09T10:19:29Z,2026-08-09T12:00:00Z,1.7,62.5,75.0,75.0,-12.5,12.5
0-6ч,2026-08-09T10:19:29Z,2026-08-09T15:00:00Z,4.7,14.06,87.5,75.0,-73.44,73.44
0-6ч,2026-08-09T12:41:38Z,2026-08-09T15:00:00Z,2.3,13.28,87.5,75.0,-74.22,74.22
0-6ч,2026-08-09T12:41:38Z,2026-08-09T18:00:00Z,5.3,35.16,75.0,75.0,-39.84,39.84
0-6ч,2026-08-09T12:45:53Z,2026-08-09T15:00:00Z,2.2,13.28,87.5,75.0,-74.22,74.22
0-6ч,2026-08-09T12:45:53Z,2026-08-09T18:00:00Z,5.2,35.16,75.0,75.0,-39.84,39.84
0-6ч,2026-08-09T12:48:15Z,2026-08-09T15:00:00Z,2.2,13.28,87.5,75.0,-74.22,74.22
0-6ч,2026-08-09T12:48:15Z,2026-08-09T18:00:00Z,5.2,35.16,75.0,75.0,-39.84,39.84
0-6ч,2026-08-09T16:31:44Z,2026-08-09T18:00:00Z,1.5,35.16,75.0,87.5,-39.84,39.84
0-6ч,2026-08-09T16:31:44Z,2026-08-09T21:00:00Z,4.5,26.56,37.5,87.5,-10.94,10.94
0-6ч,2026-08-09T22:39:09Z,2026-08-10T00:00:00Z,1.3,96.88,37.5,37.5,59.38,59.38
0-6ч,2026-08-09T22:39:09Z,2026-08-10T03:00:00Z,4.3,92.19,87.5,37.5,4.69,4.69
0-6ч,2026-08-10T05:20:42Z,2026-08-10T06:00:00Z,0.7,96.09,87.5,87.5,8.59,8.59
0-6ч,2026-08-10T05:20:42Z,2026-08-10T09:00:00Z,3.7,76.56,87.5,87.5,-10.94,10.94
0-6ч,2026-08-10T10:53:28Z,2026-08-10T12:00:00Z,1.1,75.0,87.5,87.5,-12.5,12.5
0-6ч,2026-08-10T10:53:28Z,2026-08-10T15:00:00Z,4.1,57.03,87.5,87.5,-30.47,30.47
0-6ч,2026-08-10T16:52:05Z,2026-08-10T18:00:00Z,1.1,44.53,75.0,87.5,-30.47,30.47
0-6ч,2026-08-10T16:52:05Z,2026-08-10T21:00:00Z,4.1,59.38,100.0,87.5,-40.62,40.62
0-6ч,2026-08-10T22:47:13Z,2026-08-11T00:00:00Z,1.2,8.59,100.0,100.0,-91.41,91.41
0-6ч,2026-08-10T22:47:13Z,2026-08-11T03:00:00Z,4.2,30.47,12.5,100.0,17.97,17.97
0-6ч,2026-08-11T05:01:49Z,2026-08-11T06:00:00Z,1.0,7.81,75.0,12.5,-67.19,67.19
0-6ч,2026-08-11T05:01:49Z,2026-08-11T09:00:00Z,4.0,66.41,87.5,12.5,-21.09,21.09
0-6ч,2026-08-11T10:38:45Z,2026-08-11T12:00:00Z,1.4,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-11T10:38:45Z,2026-08-11T15:00:00Z,4.4,100.0,100.0,87.5,0.0,0.0
0-6ч,2026-08-12T06:05:22Z,2026-08-12T09:00:00Z,2.9,90.62,100.0,100.0,-9.38,9.38
0-6ч,2026-08-12T06:05:22Z,2026-08-12T12:00:00Z,5.9,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-12T10:47:03Z,2026-08-12T12:00:00Z,1.2,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-12T10:47:03Z,2026-08-12T15:00:00Z,4.2,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-12T16:54:57Z,2026-08-12T18:00:00Z,1.1,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-12T16:54:57Z,2026-08-12T21:00:00Z,4.1,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-12T22:50:47Z,2026-08-13T00:00:00Z,1.2,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-12T22:50:47Z,2026-08-13T03:00:00Z,4.2,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T05:30:08Z,2026-08-13T06:00:00Z,0.5,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T05:30:08Z,2026-08-13T09:00:00Z,3.5,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T10:49:01Z,2026-08-13T12:00:00Z,1.2,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T10:49:01Z,2026-08-13T15:00:00Z,4.2,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T16:36:10Z,2026-08-13T18:00:00Z,1.4,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T16:36:10Z,2026-08-13T21:00:00Z,4.4,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T16:42:24Z,2026-08-13T18:00:00Z,1.3,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T16:42:24Z,2026-08-13T21:00:00Z,4.3,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T16:54:22Z,2026-08-13T18:00:00Z,1.1,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T16:54:22Z,2026-08-13T21:00:00Z,4.1,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T22:52:17Z,2026-08-14T00:00:00Z,1.1,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T22:52:17Z,2026-08-14T03:00:00Z,4.1,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-14T05:28:14Z,2026-08-14T06:00:00Z,0.5,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-14T05:28:14Z,2026-08-14T09:00:00Z,3.5,100.0,100.0,100.0,0.0,0.0
6-24ч,2026-08-06T11:44:08Z,2026-08-06T18:00:00Z,6.3,100.0,100.0,87.5,0.0,0.0
6-24ч,2026-08-06T11:44:08Z,2026-08-06T21:00:00Z,9.3,100.0,100.0,87.5,0.0,0.0
6-24ч,2026-08-06T11:44:08Z,2026-08-07T00:00:00Z,12.3,100.0,100.0,87.5,0.0,0.0
6-24ч,2026-08-06T11:44:08Z,2026-08-07T03:00:00Z,15.3,100.0,100.0,87.5,0.0,0.0
6-24ч,2026-08-06T11:44:08Z,2026-08-07T06:00:00Z,18.3,100.0,100.0,87.5,0.0,0.0
6-24ч,2026-08-06T11:44:08Z,2026-08-07T09:00:00Z,21.3,97.66,100.0,87.5,-2.34,2.34
6-24ч,2026-08-07T01:31:32Z,2026-08-07T09:00:00Z,7.5,100.0,100.0,100.0,0.0,0.0
6-24ч,2026-08-07T01:31:32Z,2026-08-07T12:00:00Z,10.5,56.25,87.5,100.0,-31.25,31.25
6-24ч,2026-08-07T01:31:32Z,2026-08-07T15:00:00Z,13.5,97.66,87.5,100.0,10.16,10.16
6-24ч,2026-08-07T01:31:32Z,2026-08-07T18:00:00Z,16.5,36.72,87.5,100.0,-50.78,50.78
6-24ч,2026-08-07T01:31:32Z,2026-08-07T21:00:00Z,19.5,40.62,87.5,100.0,-46.88,46.88
6-24ч,2026-08-07T01:31:32Z,2026-08-08T00:00:00Z,22.5,100.0,100.0,100.0,0.0,0.0
6-24ч,2026-08-07T05:36:00Z,2026-08-07T12:00:00Z,6.4,56.25,87.5,100.0,-31.25,31.25
6-24ч,2026-08-07T05:36:00Z,2026-08-07T15:00:00Z,9.4,97.66,87.5,100.0,10.16,10.16
6-24ч,2026-08-07T05:36:00Z,2026-08-07T18:00:00Z,12.4,36.72,87.5,100.0,-50.78,50.78
6-24ч,2026-08-07T05:36:00Z,2026-08-07T21:00:00Z,15.4,40.62,87.5,100.0,-46.88,46.88
6-24ч,2026-08-07T05:36:00Z,2026-08-08T00:00:00Z,18.4,100.0,100.0,100.0,0.0,0.0
6-24ч,2026-08-07T05:36:00Z,2026-08-08T03:00:00Z,21.4,100.0,100.0,100.0,0.0,0.0
6-24ч,2026-08-07T06:18:59Z,2026-08-07T15:00:00Z,8.7,98.44,87.5,100.0,10.94,10.94
6-24ч,2026-08-07T06:18:59Z,2026-08-07T18:00:00Z,11.7,13.28,87.5,100.0,-74.22,74.22
6-24ч,2026-08-07T06:18:59Z,2026-08-07T21:00:00Z,14.7,37.5,87.5,100.0,-50.0,50.0
6-24ч,2026-08-07T06:18:59Z,2026-08-08T00:00:00Z,17.7,100.0,100.0,100.0,0.0,0.0
6-24ч,2026-08-07T06:18:59Z,2026-08-08T03:00:00Z,20.7,100.0,100.0,100.0,0.0,0.0
6-24ч,2026-08-07T06:18:59Z,2026-08-08T06:00:00Z,23.7,62.5,100.0,100.0,-37.5,37.5
6-24ч,2026-08-07T07:13:52Z,2026-08-07T15:00:00Z,7.8,98.44,87.5,100.0,10.94,10.94
6-24ч,2026-08-07T07:13:52Z,2026-08-07T18:00:00Z,10.8,13.28,87.5,100.0,-74.22,74.22
6-24ч,2026-08-07T07:13:52Z,2026-08-07T21:00:00Z,13.8,37.5,87.5,100.0,-50.0,50.0
6-24ч,2026-08-07T07:13:52Z,2026-08-08T00:00:00Z,16.8,100.0,100.0,100.0,0.0,0.0
6-24ч,2026-08-07T07:13:52Z,2026-08-08T03:00:00Z,19.8,100.0,100.0,100.0,0.0,0.0
6-24ч,2026-08-07T07:13:52Z,2026-08-08T06:00:00Z,22.8,62.5,100.0,100.0,-37.5,37.5
6-24ч,2026-08-07T10:39:14Z,2026-08-07T18:00:00Z,7.3,13.28,87.5,100.0,-74.22,74.22
6-24ч,2026-08-07T10:39:14Z,2026-08-07T21:00:00Z,10.3,37.5,87.5,100.0,-50.0,50.0
6-24ч,2026-08-07T10:39:14Z,2026-08-08T00:00:00Z,13.3,100.0,100.0,100.0,0.0,0.0
6-24ч,2026-08-07T10:39:14Z,2026-08-08T03:00:00Z,16.3,100.0,100.0,100.0,0.0,0.0
6-24ч,2026-08-07T10:39:14Z,2026-08-08T06:00:00Z,19.3,62.5,100.0,100.0,-37.5,37.5
6-24ч,2026-08-07T10:39:14Z,2026-08-08T09:00:00Z,22.3,100.0,100.0,100.0,0.0,0.0
6-24ч,2026-08-07T16:51:54Z,2026-08-08T00:00:00Z,7.1,34.38,100.0,87.5,-65.62,65.62
6-24ч,2026-08-07T16:51:54Z,2026-08-08T03:00:00Z,10.1,63.28,100.0,87.5,-36.72,36.72
6-24ч,2026-08-07T16:51:54Z,2026-08-08T06:00:00Z,13.1,99.22,100.0,87.5,-0.78,0.78
6-24ч,2026-08-07T16:51:54Z,2026-08-08T09:00:00Z,16.1,78.91,100.0,87.5,-21.09,21.09
6-24ч,2026-08-07T16:51:54Z,2026-08-08T12:00:00Z,19.1,99.22,100.0,87.5,-0.78,0.78
6-24ч,2026-08-07T16:51:54Z,2026-08-08T15:00:00Z,22.1,88.28,87.5,87.5,0.78,0.78
6-24ч,2026-08-07T22:45:57Z,2026-08-08T06:00:00Z,7.2,59.38,100.0,87.5,-40.62,40.62
6-24ч,2026-08-07T22:45:57Z,2026-08-08T09:00:00Z,10.2,45.31,100.0,87.5,-54.69,54.69
6-24ч,2026-08-07T22:45:57Z,2026-08-08T12:00:00Z,13.2,84.38,100.0,87.5,-15.62,15.62
6-24ч,2026-08-07T22:45:57Z,2026-08-08T15:00:00Z,16.2,39.06,87.5,87.5,-48.44,48.44
6-24ч,2026-08-07T22:45:57Z,2026-08-08T18:00:00Z,19.2,54.69,100.0,87.5,-45.31,45.31
6-24ч,2026-08-07T22:45:57Z,2026-08-08T21:00:00Z,22.2,72.66,87.5,87.5,-14.84,14.84
6-24ч,2026-08-07T23:19:23Z,2026-08-08T06:00:00Z,6.7,59.38,100.0,87.5,-40.62,40.62
6-24ч,2026-08-07T23:19:23Z,2026-08-08T09:00:00Z,9.7,45.31,100.0,87.5,-54.69,54.69
6-24ч,2026-08-07T23:19:23Z,2026-08-08T12:00:00Z,12.7,84.38,100.0,87.5,-15.62,15.62
6-24ч,2026-08-07T23:19:23Z,2026-08-08T15:00:00Z,15.7,39.06,87.5,87.5,-48.44,48.44
6-24ч,2026-08-07T23:19:23Z,2026-08-08T18:00:00Z,18.7,54.69,100.0,87.5,-45.31,45.31
6-24ч,2026-08-07T23:19:23Z,2026-08-08T21:00:00Z,21.7,72.66,87.5,87.5,-14.84,14.84
6-24ч,2026-08-08T04:50:53Z,2026-08-08T12:00:00Z,7.2,32.03,100.0,100.0,-67.97,67.97
6-24ч,2026-08-08T04:50:53Z,2026-08-08T15:00:00Z,10.2,82.03,87.5,100.0,-5.47,5.47
6-24ч,2026-08-08T04:50:53Z,2026-08-08T18:00:00Z,13.2,56.25,100.0,100.0,-43.75,43.75
6-24ч,2026-08-08T04:50:53Z,2026-08-08T21:00:00Z,16.2,93.75,87.5,100.0,6.25,6.25
6-24ч,2026-08-08T04:50:53Z,2026-08-09T00:00:00Z,19.2,99.22,87.5,100.0,11.72,11.72
6-24ч,2026-08-08T04:50:53Z,2026-08-09T03:00:00Z,22.2,49.22,100.0,100.0,-50.78,50.78
6-24ч,2026-08-08T10:18:13Z,2026-08-08T18:00:00Z,7.7,98.44,100.0,100.0,-1.56,1.56
6-24ч,2026-08-08T10:18:13Z,2026-08-08T21:00:00Z,10.7,98.44,87.5,100.0,10.94,10.94
6-24ч,2026-08-08T10:18:13Z,2026-08-09T00:00:00Z,13.7,96.88,87.5,100.0,9.38,9.38
6-24ч,2026-08-08T10:18:13Z,2026-08-09T03:00:00Z,16.7,56.25,100.0,100.0,-43.75,43.75
6-24ч,2026-08-08T10:18:13Z,2026-08-09T06:00:00Z,19.7,100.0,100.0,100.0,0.0,0.0
6-24ч,2026-08-08T10:18:13Z,2026-08-09T09:00:00Z,22.7,79.69,75.0,100.0,4.69,4.69
6-24ч,2026-08-08T22:37:20Z,2026-08-09T06:00:00Z,7.4,85.16,100.0,87.5,-14.84,14.84
6-24ч,2026-08-08T22:37:20Z,2026-08-09T09:00:00Z,10.4,100.0,75.0,87.5,25.0,25.0
6-24ч,2026-08-08T22:37:20Z,2026-08-09T12:00:00Z,13.4,57.81,75.0,87.5,-17.19,17.19
6-24ч,2026-08-08T22:37:20Z,2026-08-09T15:00:00Z,16.4,49.22,87.5,87.5,-38.28,38.28
6-24ч,2026-08-08T22:37:20Z,2026-08-09T18:00:00Z,19.4,10.16,75.0,87.5,-64.84,64.84
6-24ч,2026-08-08T22:37:20Z,2026-08-09T21:00:00Z,22.4,3.91,37.5,87.5,-33.59,33.59
6-24ч,2026-08-09T04:59:03Z,2026-08-09T12:00:00Z,7.0,69.53,75.0,100.0,-5.47,5.47
6-24ч,2026-08-09T04:59:03Z,2026-08-09T15:00:00Z,10.0,23.44,87.5,100.0,-64.06,64.06
6-24ч,2026-08-09T04:59:03Z,2026-08-09T18:00:00Z,13.0,16.41,75.0,100.0,-58.59,58.59
6-24ч,2026-08-09T04:59:03Z,2026-08-09T21:00:00Z,16.0,7.03,37.5,100.0,-30.47,30.47
6-24ч,2026-08-09T04:59:03Z,2026-08-10T00:00:00Z,19.0,91.41,37.5,100.0,53.91,53.91
6-24ч,2026-08-09T04:59:03Z,2026-08-10T03:00:00Z,22.0,92.19,87.5,100.0,4.69,4.69
6-24ч,2026-08-09T10:19:29Z,2026-08-09T18:00:00Z,7.7,38.28,75.0,75.0,-36.72,36.72
6-24ч,2026-08-09T10:19:29Z,2026-08-09T21:00:00Z,10.7,40.62,37.5,75.0,3.12,3.12
6-24ч,2026-08-09T10:19:29Z,2026-08-10T00:00:00Z,13.7,88.28,37.5,75.0,50.78,50.78
6-24ч,2026-08-09T10:19:29Z,2026-08-10T03:00:00Z,16.7,87.5,87.5,75.0,0.0,0.0
6-24ч,2026-08-09T10:19:29Z,2026-08-10T06:00:00Z,19.7,92.97,87.5,75.0,5.47,5.47
6-24ч,2026-08-09T10:19:29Z,2026-08-10T09:00:00Z,22.7,74.22,87.5,75.0,-13.28,13.28
6-24ч,2026-08-09T12:41:38Z,2026-08-09T21:00:00Z,8.3,26.56,37.5,75.0,-10.94,10.94
6-24ч,2026-08-09T12:41:38Z,2026-08-10T00:00:00Z,11.3,89.06,37.5,75.0,51.56,51.56
6-24ч,2026-08-09T12:41:38Z,2026-08-10T03:00:00Z,14.3,50.78,87.5,75.0,-36.72,36.72
6-24ч,2026-08-09T12:41:38Z,2026-08-10T06:00:00Z,17.3,92.19,87.5,75.0,4.69,4.69
6-24ч,2026-08-09T12:41:38Z,2026-08-10T09:00:00Z,20.3,77.34,87.5,75.0,-10.16,10.16
6-24ч,2026-08-09T12:41:38Z,2026-08-10T12:00:00Z,23.3,60.94,87.5,75.0,-26.56,26.56
6-24ч,2026-08-09T12:45:53Z,2026-08-09T21:00:00Z,8.2,26.56,37.5,75.0,-10.94,10.94
6-24ч,2026-08-09T12:45:53Z,2026-08-10T00:00:00Z,11.2,89.06,37.5,75.0,51.56,51.56
6-24ч,2026-08-09T12:45:53Z,2026-08-10T03:00:00Z,14.2,50.78,87.5,75.0,-36.72,36.72
6-24ч,2026-08-09T12:45:53Z,2026-08-10T06:00:00Z,17.2,92.19,87.5,75.0,4.69,4.69
6-24ч,2026-08-09T12:45:53Z,2026-08-10T09:00:00Z,20.2,77.34,87.5,75.0,-10.16,10.16
6-24ч,2026-08-09T12:45:53Z,2026-08-10T12:00:00Z,23.2,60.94,87.5,75.0,-26.56,26.56
6-24ч,2026-08-09T12:48:15Z,2026-08-09T21:00:00Z,8.2,26.56,37.5,75.0,-10.94,10.94
6-24ч,2026-08-09T12:48:15Z,2026-08-10T00:00:00Z,11.2,89.06,37.5,75.0,51.56,51.56
6-24ч,2026-08-09T12:48:15Z,2026-08-10T03:00:00Z,14.2,50.78,87.5,75.0,-36.72,36.72
6-24ч,2026-08-09T12:48:15Z,2026-08-10T06:00:00Z,17.2,92.19,87.5,75.0,4.69,4.69
6-24ч,2026-08-09T12:48:15Z,2026-08-10T09:00:00Z,20.2,77.34,87.5,75.0,-10.16,10.16
6-24ч,2026-08-09T12:48:15Z,2026-08-10T12:00:00Z,23.2,60.94,87.5,75.0,-26.56,26.56
6-24ч,2026-08-09T16:31:44Z,2026-08-10T00:00:00Z,7.5,89.06,37.5,87.5,51.56,51.56
6-24ч,2026-08-09T16:31:44Z,2026-08-10T03:00:00Z,10.5,50.78,87.5,87.5,-36.72,36.72
6-24ч,2026-08-09T16:31:44Z,2026-08-10T06:00:00Z,13.5,92.19,87.5,87.5,4.69,4.69
6-24ч,2026-08-09T16:31:44Z,2026-08-10T09:00:00Z,16.5,77.34,87.5,87.5,-10.16,10.16
6-24ч,2026-08-09T16:31:44Z,2026-08-10T12:00:00Z,19.5,60.94,87.5,87.5,-26.56,26.56
6-24ч,2026-08-09T16:31:44Z,2026-08-10T15:00:00Z,22.5,63.28,87.5,87.5,-24.22,24.22
6-24ч,2026-08-09T22:39:09Z,2026-08-10T06:00:00Z,7.3,96.09,87.5,37.5,8.59,8.59
6-24ч,2026-08-09T22:39:09Z,2026-08-10T09:00:00Z,10.3,85.16,87.5,37.5,-2.34,2.34
6-24ч,2026-08-09T22:39:09Z,2026-08-10T12:00:00Z,13.3,55.47,87.5,37.5,-32.03,32.03
6-24ч,2026-08-09T22:39:09Z,2026-08-10T15:00:00Z,16.3,60.16,87.5,37.5,-27.34,27.34
6-24ч,2026-08-09T22:39:09Z,2026-08-10T18:00:00Z,19.3,49.22,75.0,37.5,-25.78,25.78
6-24ч,2026-08-09T22:39:09Z,2026-08-10T21:00:00Z,22.3,56.25,100.0,37.5,-43.75,43.75
6-24ч,2026-08-10T05:20:42Z,2026-08-10T12:00:00Z,6.7,41.41,87.5,87.5,-46.09,46.09
6-24ч,2026-08-10T05:20:42Z,2026-08-10T15:00:00Z,9.7,71.09,87.5,87.5,-16.41,16.41
6-24ч,2026-08-10T05:20:42Z,2026-08-10T18:00:00Z,12.7,18.75,75.0,87.5,-56.25,56.25
6-24ч,2026-08-10T05:20:42Z,2026-08-10T21:00:00Z,15.7,14.06,100.0,87.5,-85.94,85.94
6-24ч,2026-08-10T05:20:42Z,2026-08-11T00:00:00Z,18.7,53.12,100.0,87.5,-46.88,46.88
6-24ч,2026-08-10T05:20:42Z,2026-08-11T03:00:00Z,21.7,44.53,12.5,87.5,32.03,32.03
6-24ч,2026-08-10T10:53:28Z,2026-08-10T18:00:00Z,7.1,39.06,75.0,87.5,-35.94,35.94
6-24ч,2026-08-10T10:53:28Z,2026-08-10T21:00:00Z,10.1,54.69,100.0,87.5,-45.31,45.31
6-24ч,2026-08-10T10:53:28Z,2026-08-11T00:00:00Z,13.1,16.41,100.0,87.5,-83.59,83.59
6-24ч,2026-08-10T10:53:28Z,2026-08-11T03:00:00Z,16.1,26.56,12.5,87.5,14.06,14.06
6-24ч,2026-08-10T10:53:28Z,2026-08-11T06:00:00Z,19.1,10.94,75.0,87.5,-64.06,64.06
6-24ч,2026-08-10T10:53:28Z,2026-08-11T09:00:00Z,22.1,44.53,87.5,87.5,-42.97,42.97
6-24ч,2026-08-10T16:52:05Z,2026-08-11T00:00:00Z,7.1,4.69,100.0,87.5,-95.31,95.31
6-24ч,2026-08-10T16:52:05Z,2026-08-11T03:00:00Z,10.1,29.69,12.5,87.5,17.19,17.19
6-24ч,2026-08-10T16:52:05Z,2026-08-11T06:00:00Z,13.1,18.75,75.0,87.5,-56.25,56.25
6-24ч,2026-08-10T16:52:05Z,2026-08-11T09:00:00Z,16.1,88.28,87.5,87.5,0.78,0.78
6-24ч,2026-08-10T16:52:05Z,2026-08-11T12:00:00Z,19.1,99.22,87.5,87.5,11.72,11.72
6-24ч,2026-08-10T16:52:05Z,2026-08-11T15:00:00Z,22.1,98.44,100.0,87.5,-1.56,1.56
6-24ч,2026-08-10T22:47:13Z,2026-08-11T06:00:00Z,7.2,2.34,75.0,100.0,-72.66,72.66
6-24ч,2026-08-10T22:47:13Z,2026-08-11T09:00:00Z,10.2,80.47,87.5,100.0,-7.03,7.03
6-24ч,2026-08-10T22:47:13Z,2026-08-11T12:00:00Z,13.2,100.0,87.5,100.0,12.5,12.5
6-24ч,2026-08-10T22:47:13Z,2026-08-11T15:00:00Z,16.2,100.0,100.0,100.0,0.0,0.0
6-24ч,2026-08-10T22:47:13Z,2026-08-11T18:00:00Z,19.2,100.0,100.0,100.0,0.0,0.0
6-24ч,2026-08-10T22:47:13Z,2026-08-11T21:00:00Z,22.2,100.0,100.0,100.0,0.0,0.0
6-24ч,2026-08-11T05:01:49Z,2026-08-11T12:00:00Z,7.0,100.0,87.5,12.5,12.5,12.5
6-24ч,2026-08-11T05:01:49Z,2026-08-11T15:00:00Z,10.0,100.0,100.0,12.5,0.0,0.0
6-24ч,2026-08-11T05:01:49Z,2026-08-11T18:00:00Z,13.0,100.0,100.0,12.5,0.0,0.0
6-24ч,2026-08-11T05:01:49Z,2026-08-11T21:00:00Z,16.0,100.0,100.0,12.5,0.0,0.0
6-24ч,2026-08-11T05:01:49Z,2026-08-12T00:00:00Z,19.0,100.0,100.0,12.5,0.0,0.0
6-24ч,2026-08-11T05:01:49Z,2026-08-12T03:00:00Z,22.0,100.0,100.0,12.5,0.0,0.0
6-24ч,2026-08-11T10:38:45Z,2026-08-11T18:00:00Z,7.4,100.0,100.0,87.5,0.0,0.0
6-24ч,2026-08-11T10:38:45Z,2026-08-11T21:00:00Z,10.4,100.0,100.0,87.5,0.0,0.0
6-24ч,2026-08-11T10:38:45Z,2026-08-12T00:00:00Z,13.4,100.0,100.0,87.5,0.0,0.0
6-24ч,2026-08-11T10:38:45Z,2026-08-12T03:00:00Z,16.4,100.0,100.0,87.5,0.0,0.0
6-24ч,2026-08-11T10:38:45Z,2026-08-12T06:00:00Z,19.4,100.0,100.0,87.5,0.0,0.0
6-24ч,2026-08-11T10:38:45Z,2026-08-12T09:00:00Z,22.4,100.0,100.0,87.5,0.0,0.0
6-24ч,2026-08-12T06:05:22Z,2026-08-12T15:00:00Z,8.9,100.0,100.0,100.0,0.0,0.0
6-24ч,2026-08-12T06:05:22Z,2026-08-12T18:00:00Z,11.9,100.0,100.0,100.0,0.0,0.0
6-24ч,2026-08-12T06:05:22Z,2026-08-12T21:00:00Z,14.9,100.0,100.0,100.0,0.0,0.0
